Date,Open,High,Low,Close,Volume
2011-06-07,6070.0,6190.0,6050.0,6190.0,479880
2011-06-08,6090.0,6190.0,5910.0,5910.0,355780
2011-06-09,5910.0,6030.0,5910.0,5930.0,143050
2011-06-10,5950.0,6070.0,5930.0,5950.0,223420
2011-06-13,5950.0,5950.0,5890.0,5930.0,171620
2011-06-14,5910.0,6070.0,5870.0,5890.0,223190
2011-06-15,5770.0,5870.0,5730.0,5730.0,283010
2011-06-16,5770.0,5870.0,5750.0,5810.0,106540
2011-06-17,5850.0,5850.0,5580.0,5580.0,695210
2011-06-20,5580.0,5710.0,5580.0,5630.0,104510
2011-06-21,5650.0,5870.0,5650.0,5850.0,277890
2011-06-22,5870.0,5910.0,5790.0,5850.0,183720
2011-06-23,5770.0,5810.0,5690.0,5690.0,154890
2011-06-24,5690.0,5730.0,5580.0,5580.0,244760
2011-06-27,5710.0,5710.0,5610.0,5690.0,181460
2011-06-28,5630.0,5710.0,5630.0,5650.0,73750
2011-06-29,5650.0,5670.0,5650.0,5670.0,140990
2011-06-30,5670.0,5710.0,5610.0,5610.0,135730
2011-07-01,5650.0,5690.0,5580.0,5650.0,98080
2011-07-04,5710.0,5710.0,5580.0,5630.0,112380
2011-07-05,5630.0,5770.0,5630.0,5750.0,289030
2011-07-06,5750.0,5750.0,5690.0,5690.0,126510
2011-07-07,5750.0,5750.0,5670.0,5690.0,136680
2011-07-08,5690.0,5690.0,5650.0,5650.0,200110
2011-07-11,5650.0,5710.0,5650.0,5690.0,316360
2011-07-12,5710.0,5710.0,5650.0,5670.0,159570
2011-07-13,5670.0,5730.0,5670.0,5670.0,234430
2011-07-14,5690.0,5950.0,5690.0,5950.0,514250
2011-07-15,5950.0,5990.0,5790.0,5790.0,448370
2011-07-18,5820.0,6070.0,5820.0,6070.0,240220
2011-07-19,6070.0,6120.0,6010.0,6070.0,100920
2011-07-20,6070.0,6280.0,6070.0,6250.0,564770
2011-07-21,6500.0,6500.0,6320.0,6460.0,692270
2011-07-22,6460.0,6460.0,6350.0,6350.0,331180
2011-07-25,6250.0,6350.0,6250.0,6350.0,216190
2011-07-26,6300.0,6350.0,6210.0,6210.0,183340
2011-07-27,6230.0,6390.0,6160.0,6390.0,455750
2011-07-28,6390.0,6530.0,6350.0,6410.0,795160
2011-07-29,6370.0,6410.0,6350.0,6370.0,355190
2011-08-01,6370.0,6440.0,6320.0,6320.0,350700
2011-08-02,6300.0,6350.0,6280.0,6300.0,203910
2011-08-03,6300.0,6300.0,6070.0,6120.0,374250
2011-08-04,6120.0,6300.0,6120.0,6210.0,487660
2011-08-05,6140.0,6210.0,6140.0,6160.0,248140
2011-08-08,6140.0,6160.0,6100.0,6100.0,254000
2011-08-09,6050.0,6050.0,5890.0,5940.0,350600
2011-08-10,6030.0,6070.0,5980.0,5980.0,313960
2011-08-11,5940.0,6030.0,5940.0,6030.0,146650
2011-08-12,6030.0,6100.0,6030.0,6100.0,143240
2011-08-15,6100.0,6100.0,6050.0,6070.0,73200
2011-08-16,6010.0,6100.0,6010.0,6070.0,123460
2011-08-17,6070.0,6230.0,6070.0,6230.0,408550
2011-08-18,6230.0,6300.0,6210.0,6300.0,527070
2011-08-19,6210.0,6250.0,6140.0,6190.0,309330
2011-08-22,6230.0,6250.0,6190.0,6190.0,390020
2011-08-23,6120.0,6160.0,6120.0,6120.0,198590
2011-08-24,6120.0,6190.0,6070.0,6070.0,355540
2011-08-25,6070.0,6140.0,6070.0,6120.0,122120
2011-08-26,6120.0,6140.0,6100.0,6100.0,238140
2011-08-29,6120.0,6160.0,6070.0,6140.0,397310
2011-08-30,6230.0,6280.0,6190.0,6190.0,518270
2011-08-31,6190.0,6280.0,6160.0,6230.0,548340
2011-09-01,6280.0,6530.0,6280.0,6530.0,1659870
2011-09-05,6690.0,6690.0,6370.0,6410.0,489740
2011-09-06,6350.0,6410.0,6320.0,6370.0,323300
2011-09-07,6440.0,6460.0,6390.0,6410.0,358230
2011-09-08,6460.0,6500.0,6370.0,6370.0,840420
2011-09-09,6350.0,6370.0,6320.0,6350.0,383840
2011-09-12,6280.0,6350.0,6160.0,6190.0,429280
2011-09-13,6210.0,6350.0,6210.0,6250.0,355790
2011-09-14,6210.0,6300.0,6120.0,6120.0,508440
2011-09-15,6120.0,6120.0,6030.0,6120.0,312090
2011-09-16,6120.0,6190.0,5980.0,5980.0,241330
2011-09-19,6030.0,6210.0,6030.0,6210.0,185780
2011-09-20,6050.0,6160.0,6050.0,6050.0,286510
2011-09-21,6050.0,6120.0,6030.0,6050.0,134670
2011-09-22,6030.0,6160.0,6030.0,6140.0,201490
2011-09-23,6050.0,6100.0,6010.0,6010.0,303580
2011-09-26,6030.0,6030.0,5960.0,5980.0,256070
2011-09-27,6010.0,6120.0,6010.0,6030.0,307140
2011-09-28,6320.0,6320.0,6300.0,6320.0,721650
2011-09-29,6350.0,6350.0,6160.0,6210.0,536090
2011-09-30,6160.0,6230.0,6140.0,6190.0,186250
2011-10-03,6190.0,6190.0,6120.0,6120.0,439350
2011-10-04,6070.0,6120.0,6010.0,6050.0,288660
2011-10-05,6050.0,6100.0,6010.0,6030.0,378420
2011-10-06,6030.0,6070.0,6010.0,6050.0,398630
2011-10-07,6050.0,6070.0,6010.0,6010.0,254380
2011-10-10,6050.0,6050.0,5980.0,6030.0,152410
2011-10-11,6030.0,6030.0,5960.0,5980.0,291760
2011-10-12,5980.0,5980.0,5940.0,5940.0,310890
2011-10-13,5940.0,5940.0,5800.0,5910.0,349150
2011-10-14,5910.0,6010.0,5910.0,5960.0,339760
2011-10-17,5960.0,5960.0,5910.0,5940.0,154560
2011-10-18,5890.0,5910.0,5870.0,5870.0,382840
2011-10-19,5870.0,5870.0,5800.0,5820.0,267830
2011-10-20,5820.0,5850.0,5780.0,5820.0,236700
2011-10-21,5820.0,6030.0,5820.0,6030.0,359160
2011-10-24,6030.0,6030.0,5980.0,6010.0,138990
2011-10-25,6030.0,6030.0,5960.0,5960.0,164110
2011-10-26,5960.0,6010.0,5940.0,6010.0,191960
2011-10-27,5960.0,6010.0,5960.0,6010.0,123670
2011-10-28,6010.0,6030.0,5940.0,6010.0,298260
2011-10-31,6050.0,6070.0,5940.0,5940.0,137010
2011-11-01,5960.0,5960.0,5890.0,5910.0,116840
