Date,Open,High,Low,Close,Volume
2011-06-07,9310.0,9470.0,8760.0,8760.0,180380
2011-06-08,8990.0,8990.0,8360.0,8760.0,106270
2011-06-09,8920.0,8990.0,8600.0,8990.0,24500
2011-06-10,8990.0,9230.0,8920.0,8990.0,72400
2011-06-13,9390.0,9390.0,9390.0,9390.0,81300
2011-06-14,9790.0,9790.0,9630.0,9790.0,274280
2011-06-15,10270.0,10270.0,10270.0,10270.0,105290
2011-06-16,10760.0,10760.0,10680.0,10760.0,289380
2011-06-17,11180.0,11260.0,10840.0,11260.0,394170
2011-06-20,10760.0,11090.0,10760.0,10760.0,274980
2011-06-21,10430.0,11010.0,10430.0,11010.0,220520
2011-06-22,10840.0,10930.0,10510.0,10510.0,239540
2011-06-23,10510.0,10930.0,10510.0,10840.0,43270
2011-06-24,10840.0,10930.0,10840.0,10840.0,46150
2011-06-27,10680.0,11180.0,10680.0,11180.0,67400
2011-06-28,11260.0,11260.0,11090.0,11180.0,33010
2011-06-29,11180.0,11180.0,11090.0,11180.0,84900
2011-06-30,11180.0,11430.0,11180.0,11430.0,141850
2011-07-01,11090.0,11180.0,11010.0,11090.0,115910
2011-07-04,11090.0,11180.0,11090.0,11090.0,88360
2011-07-05,11090.0,11180.0,11090.0,11090.0,6430
2011-07-06,11180.0,11180.0,11180.0,11180.0,9500
2011-07-07,11260.0,11430.0,11180.0,11340.0,64730
2011-07-08,11180.0,11180.0,11090.0,11180.0,25080
2011-07-11,11090.0,11090.0,11090.0,11090.0,56550
2011-07-12,10840.0,10930.0,10680.0,10840.0,99110
2011-07-13,10840.0,10840.0,10510.0,10510.0,197300
2011-07-14,10510.0,10510.0,10090.0,10090.0,277980
2011-07-15,10260.0,10260.0,9840.0,9920.0,87390
2011-07-18,9760.0,10340.0,9760.0,10340.0,222350
2011-07-19,10340.0,10340.0,9920.0,10180.0,6990
2011-07-20,10340.0,10340.0,10090.0,10180.0,73770
2011-07-21,10180.0,10180.0,9920.0,10090.0,81920
2011-07-22,9920.0,9920.0,9670.0,9670.0,58460
2011-07-25,9670.0,9760.0,9590.0,9760.0,19830
2011-07-26,9760.0,10090.0,9760.0,10090.0,76600
2011-07-27,10180.0,10260.0,10180.0,10180.0,110090
2011-07-28,10010.0,10010.0,9920.0,10010.0,12620
2011-07-29,9840.0,10010.0,9510.0,9590.0,136390
2011-08-01,9590.0,9590.0,9260.0,9420.0,101150
2011-08-02,9170.0,9260.0,9010.0,9010.0,25560
2011-08-03,8590.0,8760.0,8590.0,8760.0,150050
2011-08-04,8760.0,8760.0,8340.0,8340.0,153630
2011-08-05,8340.0,8760.0,8340.0,8670.0,142460
2011-08-08,8590.0,8670.0,8340.0,8670.0,250580
2011-08-09,8420.0,8840.0,8420.0,8840.0,71650
2011-08-10,8840.0,8920.0,8420.0,8420.0,228810
2011-08-11,8170.0,8590.0,8170.0,8420.0,232520
2011-08-12,8420.0,8670.0,8420.0,8420.0,110650
2011-08-15,8420.0,8670.0,8420.0,8590.0,73160
2011-08-16,8510.0,8670.0,8510.0,8590.0,134090
2011-08-17,8670.0,8670.0,8510.0,8590.0,162430
2011-08-18,8840.0,9010.0,8590.0,9010.0,118100
2011-08-19,9090.0,9090.0,8760.0,8840.0,127400
2011-08-22,8760.0,9010.0,8760.0,9010.0,45930
2011-08-23,9010.0,9010.0,8840.0,8840.0,52450
2011-08-24,8760.0,9010.0,8420.0,8420.0,200620
2011-08-25,8590.0,8840.0,8590.0,8760.0,82350
2011-08-26,8840.0,8920.0,8760.0,8920.0,38140
2011-08-29,8760.0,9010.0,8670.0,9010.0,107950
2011-08-30,9170.0,9420.0,9170.0,9420.0,30130
2011-08-31,9670.0,9840.0,9420.0,9840.0,55990
2011-09-01,10090.0,10260.0,10010.0,10260.0,76680
2011-09-05,10260.0,10260.0,9760.0,9920.0,75340
2011-09-06,9760.0,9840.0,9670.0,9670.0,86280
2011-09-07,9670.0,9760.0,9590.0,9670.0,98070
2011-09-08,10010.0,10010.0,9840.0,9840.0,71330
2011-09-09,9840.0,10180.0,9840.0,10180.0,54440
2011-09-12,10180.0,10180.0,9670.0,9670.0,145020
2011-09-13,9590.0,9670.0,9260.0,9260.0,426930
2011-09-14,9260.0,9260.0,8840.0,8920.0,563570
2011-09-15,9170.0,9260.0,8510.0,8920.0,422260
2011-09-16,9010.0,9010.0,8510.0,8510.0,556050
2011-09-19,8340.0,8670.0,8260.0,8590.0,280520
2011-09-20,8590.0,9010.0,8420.0,8920.0,308800
2011-09-21,8920.0,8920.0,8670.0,8760.0,146760
2011-09-22,8670.0,8760.0,8510.0,8670.0,223130
2011-09-23,8510.0,8590.0,8260.0,8420.0,452650
2011-09-26,8340.0,8510.0,8260.0,8420.0,173060
2011-09-27,8340.0,8510.0,8260.0,8340.0,150920
2011-09-28,8420.0,8420.0,8260.0,8260.0,167040
2011-09-29,8260.0,8590.0,8050.000000000001,8340.0,317200
2011-09-30,8260.0,8510.0,8260.0,8340.0,175980
2011-10-03,8340.0,8340.0,8130.000000000001,8130.000000000001,104470
2011-10-04,8050.000000000001,8130.000000000001,7840.0,7880.0,141870
2011-10-05,7880.0,8010.0,7510.0,7710.0,576500
2011-10-06,7710.0,7840.0,7590.0,7840.0,261240
2011-10-07,7840.0,7840.0,7710.0,7710.0,81960
2011-10-10,7670.0,8010.0,7670.0,7960.0,103850
2011-10-11,7960.0,8010.0,7800.0,7840.0,63040
2011-10-12,7710.0,7800.0,7590.0,7710.0,90340
2011-10-13,7710.0,7840.0,7670.0,7760.0,108290
